image_id,text,llama-mm-label,llama-mm-reasoning,target-label
840006160660983808,<user> thanks for showing up for our appointment today .,1,"The use of sarcasm in the text is evident in the phrase ""thanks for showing up,"" which is typically used in a sarcastic tone to express annoyance or frustration.",1
853866052589154304,goog morning,1,"The use of the trademark symbol implies that the user is being ironic or sarcastic about their exhaustion, suggesting that they are not genuinely tired but rather expressing a sentiment in a humorous or exaggerated way.",1
731849669324705792,hilarious . tag your friends who 'd photoshop like dis textpost lol scene …,1,"The caption is sarcastic because it pokes fun at the idea that someone would go to great lengths to create a humorous image using photo editing software. The use of the phrase ""like dis"" is also a playful way of saying ""like this,"" which adds to the lighthearted tone of the post. Overall, the caption is meant to be humorous and entertaining, rather than a serious commentary on the image.",1
722824700338900992,"super excited , moments after <user> created his fb page he chose me to be his one and only friend !",1,"The text is sarcastic because it uses an exaggerated tone to express excitement about being chosen as the user's only friend, implying that it's unlikely or unwanted. The use of all capital letters and the phrase ""one and only friend"" also contribute to the sarcastic tone.",1
875711381030547456,background,1,"The image and text together suggest that the man is being sarcastic about the situation. The large pile of electronic devices in the background and the man's pose in front of them create a sense of irony and exaggeration, implying that he is not actually interested in getting rid of the devices. The text reinforces this interpretation, as it expresses a sentiment that is clearly opposite of what the man is actually feeling. Overall, the image and text work together to create a humorous and ironic effect, suggesting that the man is being sarcastic.",1
801810295597498368,they atleast don 't make you feel socially unaccepted,1,"The image is an exaggeration of a common social media phenomenon, and the caption adds to the irony by implying that the person is not actually interested in the content, but rather just wants to fit in. The use of a large auditorium to represent the person's online presence adds to the humor, suggesting that they are trying to make a big impression or draw attention to themselves. Overall, the image is meant to be humorous and ironic, rather than a genuine expression of admiration or approval.",1
707731462292779008,<user> efficiency in action ! !,1,"The text's tone and language suggest that the speaker is being sarcastic, using hyperbole and irony to convey their frustration.",1
827591397381373952,* <user> <user> the <user> 's arrest of <user> for his over-the-top should be seen as a police fail ...,0,"The language used in the text is straightforward and factual, without any hint of irony or sarcasm. The image of the man holding a trophy also does not suggest any humorous or ironic intent. Overall, the tone and content of the image and text suggest a serious and informative article, rather than a sarcastic or humorous one.",1
773618482101489664,is it me only or everybody feels that girl in bado bahu ad is chetan bhagat in disguise,1,"The text is sarcastic because it is making a humorous comparison between the woman's character and Chetan Bhagat, implying that the character is unoriginal or clichéd. The use of the phrase ""is it me only or everybody feels that"" suggests that the speaker is seeking validation or agreement from others, which is a common tactic used in sarcastic comments.",1
687826579599196160,we must rebuild our military ! ! ! we need more battleships !,0,"The text does not exhibit any clear indicators of sarcasm. The statement ""we must rebuild our military!!! we need more battleships! "" appears to be a genuine call to action, advocating for increased military spending and the acquisition of additional battleships. The use of exclamation points and the emphasis on the need for more battleships suggest a sense of urgency and conviction, rather than irony or mocking tone.",1
